z,x,beta,w_AA,w_BB,w_AB,U_hat,m_AB_hat
4,0.34,89048.46677498728,-0.8608603835844484,-0.8722613501054979,0.7781644035318938,-0.741204707657907,0.600871607279953
4,0.0971113369139207,11935.011537138784,0.1897137676902522,-0.7995576808349638,-0.1693757860928475,0.2197730916073556,0.2396563620059732
6,0.4807990522331275,63325.70314226551,0.0309476417881755,-0.7770199581473818,-0.6827413057185308,-1.5426238562180357,1.5177552470974274
2,0.1818181818181818,18969.40472501745,-0.9567850591816768,0.0521328122725868,-0.7114144995173679,-0.8675594011219284,0.3636363636363646
4,0.1481481481481481,8129.845946068008,0.6012197234673118,-0.3884321988180177,0.7222155922936555,1.124189502307064,0.3490948909344651
2,0.1351351351351351,0.0211986246037208,0.4768722212514404,0.8568846944867792,0.8759349879421021,0.5758651643305157,0.227880497867
4,0.3072702331961591,1086.7019687058691,-0.265164654351457,0.7172779420533766,-0.4991787865284307,-0.6824187603303992,1.0421997483360557
4,0.152797783933518,28.63607225336728,-0.703001938859372,0.9609447253111656,0.9444420695933656,-0.6198677526840134,0.3404676677447613
6,0.0299548688303477,293635.0611794202,-0.6857327049968607,-0.1786591599031306,-0.8437568547101222,-2.083610323446897,0.1748955480342861
2,0.3823529411764705,4.1943709510248,0.7110756425084919,-0.0160782934266907,0.1867662552307616,0.3551904936079497,0.4843808308357061
6,0.1310300801627859,31.169596404444025,0.332056975327831,0.5636830707082527,-0.4794447859251287,0.4166053878572053,0.7231799699468132
6,0.1447259731283399,0.3640246434775302,0.460752879175945,0.7627551268918762,0.9153875065388006,1.7390961572532857,0.7433791381948514
4,0.1730103806228373,4.078147744152975,0.9368989495372528,-0.0986946179357863,-0.3101004505930513,1.0592455782603731,0.6256360523117236
4,0.4769444444444444,86.16253541773023,0.6812515130631644,-0.706528397446831,0.6665996538268244,0.4393880397696371,0.5898857158491937
4,0.120591975950977,0.0268087857390618,0.9955688425750238,-0.5758208148052189,0.9028548007827704,1.9062369509960368,0.4243887261396143
6,0.0262390670553935,5.684193462352349,0.6597312091791314,-0.0369053625301247,0.4497625296593881,1.945229974291197,0.1508759472595275
4,0.2426697530864197,0.0120700599873672,0.5511190616040356,0.1540444292027005,0.1500165046657708,0.7607545174691421,0.7344182012362954
4,0.38,7.087056092751881,0.6244233826534933,-0.5973544907765511,-0.9936616789092289,-0.9364130129632758,1.247729775224719
2,0.088235294117647,547.428242605927,-0.4802263498721535,0.3426755620867097,0.0133556594519499,-0.3979403899592773,0.1178234941247065
2,0.2150537634408602,15181.608720451106,-0.4938881974964344,0.6496230507778893,0.3004189191045399,-0.2060009594933731,0.1885893464926402
2,0.35,500.10895701341656,0.8409919859249704,-0.9888047297443464,0.3505635516261933,0.3280165914072654,0.3002649867506619
6,0.2720712306316388,0.8527554866071699,-0.308262241837095,-0.649246669791397,0.3874240439126239,-0.2339950137858631,1.1188315928532804
6,0.0501570001714677,835616.8887941816,0.7961117931189137,-0.2825588934319341,-0.025386950949251,2.1449436360637826,0.2873621654484252
2,0.4074074074074074,15353.81223044254,0.0051553127723802,-0.561572443817542,-0.4674802545840362,-0.3494160618685812,0.6534642832013092
4,0.0625,1572.3529222554073,0.0480314380095068,0.2110879348273633,-0.6771595638694285,-0.0820748056518286,0.2460828146870624
2,0.1578947368421052,0.0148240444161924,0.3675525888946875,0.1396311038561508,0.8709094548123288,0.497016243308821,0.2680164230757793
2,0.2702702702702703,4878412.767344208,0.6262998048854447,-0.5080105051939805,0.6587827734276488,0.4497136980456246,0.2167711526732891
4,0.1073303927746271,1.15734395438285,0.5830203426877136,0.6592373148527919,-0.439008462181105,0.7641975182409235,0.394480946780348
4,0.1212121212121212,393.97402062092215,-0.1073469406065257,0.1994880270001753,0.6313517362770298,0.0067891301702273,0.2513300932117929
4,0.1417769376181474,0.1442110916587888,0.0635557663255164,0.4426086241522384,-0.6400388147379819,-0.1922989805080753,0.4779782528308546
4,0.4722222222222222,174259.47042269004,0.4888073809957534,-0.6367728478174408,-0.2601504866299322,-0.3555479564024398,1.4509211173480654
4,0.1354595336076817,0.0354419554241383,0.100199292374792,0.4812654663460687,-0.7678367421187504,-0.1898570045003334,0.4661893792631744
2,0.3617021276595745,11773.04144225423,0.5952611708354023,0.859173817984578,-0.2276653251873137,0.1828431758312383,0.5318723413711375
2,0.1666666666666666,0.0370519665784362,-0.3375275801014916,-0.8750970594638077,0.591633305416982,-0.027807284928667,0.3333333333333333
4,0.4665743944636678,3397087.0201934725,-0.1320698441570758,0.2547412427698448,-0.4140088921408167,-0.5460419588417462,1.3523969335170647
6,0.247902199074074,0.5223580200218675,0.6172162089463469,0.1956594206899884,0.5312976166306074,1.6772450771364245,1.1141377193311326
4,0.109375,58.388721354227805,0.8157449421777243,-0.3992951940055282,-0.1257774936482658,1.2352353974125732,0.3906093781243762
4,0.440499671268902,0.0365558704096585,0.8427186136898823,0.5246021240425569,0.1996923371346348,0.9313983553211224,0.9789457624582908
2,0.3369565217391304,0.5614431660823261,-0.1396785132727831,-0.2348558911562233,0.4360682983758905,0.107283083312704,0.4476437400421697
6,0.4900802967693463,744662.921163201,0.5815963713456589,0.6729127438303784,-0.6615156010120158,-0.1506421184949519,1.5749032391612587
4,0.0293847566574839,27186.51215861851,0.1025190984977366,-0.9152258058203956,0.9356105907869176,0.2471854244471036,0.0759778983474228
4,0.0465494791666666,123895.55755314212,-0.1848651658782707,0.8478613211140147,0.6484977841484989,-0.2345725342696265,0.123066477668557
4,0.2222222222222222,4795.696004783955,-0.33525567462432,0.4472163606978769,0.5581728850803129,-0.1292937430412362,0.3852153128123239
2,0.4942528735632184,987.643563598072,-0.3610154590783847,-0.3481771389272452,0.3429502552444148,-0.1430667852381298,0.303353655645515
